MonetaryValue,Frequency,Recency
1702.1399999999999,5,11
145.12,1,217
721.28,1,37
3321.68,10,51
1326.04,3,77
1695.15,4,3
52.0,1,279
2050.1,9,28
731.36,1,44
111.99,3,259
233.35,1,45
435.05,2,13
151.45,1,262
730.7,4,37
129.75,1,91
1774.68,4,66
906.3,3,58
128.60000000000002,1,373
990.0,2,147
127.88,1,263
533.11,3,62
1524.3400000000001,2,137
3458.35,8,31
154.5,2,22
202.0,1,27
168.6,1,1
1013.58,1,79
571.76,1,252
1539.24,3,11
167.16,1,102
456.70000000000005,4,56
396.71,2,35
2005.3400000000001,8,18
812.74,4,67
391.95,1,71
249.5,1,6
715.09,2,62
70.74000000000001,2,98
368.27,1,305
27.5,1,302
30.599999999999998,1,121
96.0,1,281
127.45,2,28
802.58,3,25
388.44,3,135
2321.7999999999997,5,98
1476.3,7,6
1039.8500000000001,5,87
1620.07,3,154
2135.46,1,283
1117.27,3,16
679.02,2,17
1424.79,8,4
331.14,1,50
533.56,4,105
20.6,1,176
669.91,5,14
156.6,1,283
1278.5,3,4
3094.37,5,168
764.6,3,84
1393.42,3,69
1541.98,4,44
307.12,1,23
169.21,1,260
256.04,2,95
1494.6,7,15
610.62,3,50
1475.77,3,3
1353.31,3,233
249.58,1,27
491.82,2,27
283.44000000000005,2,135
2519.01,3,10
1850.82,10,14
586.1,3,55
159.92,3,67
2209.98,4,15
481.79,1,157
2304.18,3,137
1884.16,4,17
1467.48,4,34
293.35,1,367
1009.35,5,27
2485.89,7,4
680.85,2,244
1070.08,4,48
2271.35,5,14
90.96,1,185
208.3,2,16
263.75,3,13
1327.98,3,53
130.18,1,372
979.1999999999999,1,90
991.7900000000001,3,109
227.97,1,60
446.1,3,44
612.9,2,25
1771.0900000000001,10,37
234.38,1,365
186.66,1,226
778.42,3,3
1578.3,2,0
369.5,1,8
334.18,1,304
71.78999999999999,1,364
549.05,1,129
164.28,1,360
1058.1399999999999,4,23
266.66,2,59
152.45,1,143
358.15,1,162
199.13,1,46
1946.28,3,23
1100.88,5,11
1954.99,1,239
2621.76,9,23
71.14,1,6
348.59,1,205
1141.84,3,198
1000.91,6,28
1399.36,1,65
81.3,1,368
210.78,1,31
790.74,4,3
180.36,1,42
799.0,2,39
90.0,1,98
677.97,4,84
120.6,1,304
537.59,4,46
163.92,1,151
2212.89,6,9
1053.74,4,16
2830.2400000000002,10,8
798.85,3,106
135.0,1,142
659.48,3,202
732.91,4,14
192.05,1,218
721.45,3,53
383.15,2,24
34.8,1,69
174.05,1,283
2300.78,7,48
241.66,2,18
392.44,2,311
712.48,2,78
1947.5,7,29
636.57,4,57
869.64,3,24
76.23,1,253
931.43,1,309
1315.2,3,72
344.86,2,303
826.47,2,20
93.6,1,190
785.25,2,62
920.08,3,127
323.05,1,88
746.1800000000001,2,196
255.0,1,8
353.65,1,93
1607.06,4,21
71.15,3,288
631.17,3,76
412.92,2,296
513.08,3,18
1580.3,7,29
421.25,1,46
3203.74,7,53
191.86,2,155
144.29,1,55
703.11,3,31
1556.75,3,112
2289.76,6,14
1895.19,4,70
326.82,2,20
161.35,1,100
475.74,2,357
1008.3199999999999,2,60
951.76,5,29
2597.81,8,2
2037.02,4,69
387.18,5,28
802.09,5,16
177.19,1,216
101.1,2,41
308.59999999999997,1,10
994.6,7,15
1355.29,7,8
562.48,1,63
1120.45,2,80
1759.07,8,35
147.12,2,87
218.35,1,39
246.5,1,14
1880.98,5,50
739.2,2,32
753.53,8,98
111.72,1,281
254.55,1,175
531.49,2,52
757.72,4,123
2803.2,1,78
784.08,4,230
1198.22,2,20
482.85,2,197
840.25,1,83
1502.0,2,126
202.56,1,291
599.73,3,253
3138.04,1,72
830.63,2,0
234.88,1,207
261.76,1,7
2478.731,5,77
216.95000000000002,2,87
439.45,2,25
1290.03,4,15
149.41,1,191
1038.03,6,51
270.72,1,3
722.09,3,165
3634.36,3,98
330.77,2,196
2239.1,8,22
81.15,1,41
114.85,1,176
1923.32,6,9
240.38,1,137
1496.6,5,17
1076.2,2,58
556.87,4,16
3526.81,10,1
1222.04,5,18
114.98,1,94
433.75,4,64
2805.27,8,9
277.48,1,127
352.821,1,288
171.0,1,225
3374.2200000000003,6,81
104.7,1,308
470.72999999999996,1,32
229.75,1,206
9.700000000000001,1,332
2167.45,10,2
3582.62,2,52
1013.76,3,106
6.300000000000001,1,169
358.61,1,11
1386.1200000000001,5,49
1299.58,6,107
710.4,2,104
1385.01,3,98
135.0,1,365
1324.06,3,137
404.7,2,224
2083.16,8,10
1676.95,3,10
388.64,3,38
497.65000000000003,1,360
1274.3600000000001,7,4
3199.92,6,14
46.2,1,259
688.95,2,8
2543.55,6,14
245.48000000000002,1,204
447.44,3,69
382.31,3,154
270.15000000000003,3,161
307.55,1,29
327.38,1,365
137.35,1,7
2012.03,4,23
170.95,2,276
1122.4,2,21
769.78,2,37
223.39,2,216
60.959999999999994,1,325
75.6,1,25
703.22,1,233
375.5,1,270
449.14,3,4
775.11,2,46
1158.02,8,20
615.2,2,43
627.3100000000001,3,55
867.11,3,14
93.35000000000001,1,303
2133.31,11,6
110.03999999999999,1,74
206.60000000000002,1,22
68.25,1,254
60.48,1,359
2619.81,6,11
436.82,3,81
2916.97,5,238
160.65,1,55
843.17,2,99
225.15,2,3
1831.6499999999999,6,7
1550.63,5,62
126.49000000000001,1,253
281.02,1,139
295.2,1,179
1269.05,4,39
3533.77,5,86
1407.7,1,197
2304.69,4,24
14.850000000000001,1,153
337.66999999999996,1,316
328.95,2,112
107.01,1,20
1198.9,4,28
289.23,2,31
1950.4,5,62
797.8499999999999,6,9
730.37,2,94
563.1,1,128
328.13,1,41
2297.66,2,140
119.0,2,0
1384.88,1,30
148.71,1,97
77.83,1,171
877.7,1,50
354.85,1,105
1533.8899999999999,1,56
417.3,2,31
2376.1020000000003,9,20
434.5,3,29
123.39,1,282
875.99,5,226
87.8,1,204
1469.04,2,57
340.84000000000003,1,70
795.3199999999999,2,212
359.4,2,16
895.84,5,0
157.35,1,210
682.54,2,14
2177.88,8,3
285.6,2,86
308.14,2,81
120.32,1,212
105.5,1,196
854.61,2,31
2604.46,7,10
187.87,1,283
2136.72,8,52
627.82,2,51
2724.29,8,3
252.48000000000002,2,365
655.47,2,235
1516.65,4,42
3127.85,9,1
785.39,1,22
122.93,1,228
2019.73,8,4
933.0600000000001,7,6
365.82,1,21
389.49,1,253
301.26,1,231
276.75,1,158
2078.54,4,23
712.62,2,105
368.4,1,284
543.88,2,34
94.53,1,218
530.58,3,3
936.31,4,9
264.15,1,200
831.45,2,217
158.92,1,83
1586.54,3,20
1018.42,2,211
1696.21,7,31
2080.0,6,1
194.6,1,224
178.71,1,263
554.31,1,204
283.43,1,312
540.87,2,55
310.96000000000004,2,98
1128.72,3,225
645.19,4,14
544.47,1,134
208.79999999999998,1,37
1699.35,4,31
1901.25,5,13
566.9,2,11
76.32000000000001,1,3
1647.17,6,22
90.42,1,136
152.2,1,122
393.64,2,25
639.56,2,18
426.53000000000003,1,85
1556.54,3,233
1323.32,2,2
2193.56,2,63
355.5,1,10
282.76,1,311
1643.17,8,13
787.99,2,181
421.45000000000005,1,253
538.83,2,59
1012.63,4,39
623.0,2,7
519.8100000000001,1,46
42.4,2,55
165.45000000000002,1,35
2533.09,6,3
110.95,1,169
2622.481,1,241
542.49,4,63
1847.59,5,1
1882.3200000000002,10,66
629.4,1,200
2473.53,10,0
1665.25,3,90
134.0,1,91
1006.54,3,239
2092.74,7,3
1170.33,5,15
1527.1399999999999,5,17
1723.04,3,62
266.25,1,190
141.12,1,59
243.17,4,10
405.85,1,224
304.87,2,45
605.7,2,16
182.1,1,213
125.3,1,188
1277.49,1,35
1773.97,4,66
217.6,1,65
276.35,3,97
101.16,1,22
588.75,2,7
186.15,1,99
1155.0300000000002,5,63
1174.55,1,35
211.99,1,14
198.41000000000003,2,204
3155.2,6,30
921.5,5,21
278.77,2,58
185.8,1,233
233.53000000000003,1,365
824.28,3,106
1253.78,4,7
319.94,1,91
3345.02,5,35
411.74,2,3
555.87,2,105
2422.96,5,29
284.86,1,231
327.02,2,100
1322.04,2,154
1593.34,5,98
351.3,1,370
38.25,1,232
3207.41,4,129
151.5,1,276
500.24,1,268
310.26,1,324
326.55,1,319
461.16,3,238
177.69,1,49
836.3,4,23
2144.47,10,57
60.0,1,275
912.15,3,21
107.55000000000001,2,35
135.4,1,92
571.34,2,55
644.52,5,42
548.5,1,35
1820.41,6,10
143.94,1,50
1160.31,2,3
433.36,2,70
553.1800000000001,3,16
1574.3300000000002,5,17
1175.78,6,85
755.15,1,13
1722.09,3,55
105.8,1,184
272.96000000000004,1,298
192.45,1,56
2030.82,4,16
1039.55,2,42
1265.58,3,59
314.65999999999997,1,188
1108.82,1,10
924.5200000000001,5,22
356.95,2,307
514.22,3,29
975.5,1,70
77.52000000000001,3,7
496.5,2,193
128.2,1,304
30.1,1,254
594.62,2,256
321.59999999999997,1,112
632.28,1,252
854.55,3,59
1351.55,7,136
106.96000000000001,1,256
1212.13,7,0
575.1,1,93
3175.52,6,2
1607.34,4,114
1718.39,4,4
3488.16,9,7
647.28,3,52
1452.88,2,31
136.2,1,221
1540.2,7,41
1191.1,5,6
2956.56,5,140
162.25,1,360
255.59,2,256
62.7,1,41
126.0,1,65
243.9,2,174
433.71999999999997,1,245
197.70000000000002,1,296
138.84,1,44
424.3,1,357
2756.2400000000002,7,17
438.9,2,22
402.51,2,11
2464.27,9,9
176.34,1,171
400.2,1,133
113.35,1,16
640.13,2,16
786.25,2,17
2867.15,11,1
1015.74,3,46
1027.15,3,41
332.42,3,71
105.78000000000002,1,364
178.68,2,9
87.6,1,22
1057.89,5,53
2149.65,9,21
86.10000000000001,1,242
881.52,4,137
124.75,1,86
489.65000000000003,3,3
761.36,3,113
1217.45,4,14
252.68,1,37
1275.81,4,98
258.6,1,92
770.08,3,139
3159.46,10,7
489.86,2,30
1020.47,3,37
369.97,1,10
251.92999999999998,1,45
609.98,3,25
3537.6,7,21
3423.42,7,21
343.7,2,60
2749.13,11,14
260.7,3,154
660.27,2,218
340.48,1,111
331.35,1,46
181.05,1,41
130.6,1,231
225.45000000000002,2,8
136.31,1,97
178.48000000000002,1,149
323.29,2,148
721.06,2,232
1091.99,2,113
420.84,2,263
390.69,1,253
185.20000000000002,1,32
1179.45,3,71
2112.21,4,51
937.07,3,0
118.85999999999999,1,73
609.42,4,130
3285.96,10,24
131.53,1,176
24.4,1,66
382.14,2,90
1471.52,4,58
570.76,2,165
199.85,1,91
1354.76,7,4
2547.28,5,14
1030.41,6,97
152.76,1,207
970.12,2,162
1992.98,5,0
668.5,1,244
33.099999999999994,1,72
985.14,3,13
150.55,1,169
318.24,2,234
1676.57,3,315
145.99,2,186
2456.86,3,56
656.16,1,59
56.25,1,3
2233.8,4,35
160.5,1,221
516.0,2,91
569.22,2,17
468.88,2,256
1132.6200000000001,3,20
100.86,1,136
717.62,1,293
1893.93,3,46
911.12,1,24
3784.42,7,24
221.97,1,28
365.5,2,157
307.56,1,38
63.66,1,57
423.27,2,53
1929.22,11,6
161.0,1,81
2106.8,7,23
285.6,1,287
544.6,2,14
718.04,2,204
158.02,1,95
1747.01,5,7
1557.79,6,14
139.8,1,107
149.3,1,55
552.4,1,211
717.85,2,60
1230.03,6,18
690.3000000000001,6,4
221.69,1,308
976.99,2,74
357.66,2,39
770.34,1,76
310.70000000000005,1,357
112.57000000000001,1,111
880.96,2,50
214.6,2,52
1705.55,8,1
1680.47,1,186
819.61,4,13
330.0,1,80
126.35000000000001,1,20
572.3100000000001,1,253
2686.75,2,104
2034.31,5,60
1380.44,11,95
332.44,2,105
148.3,1,373
826.9399999999999,2,128
1754.24,3,91
863.5600000000001,3,13
630.77,1,50
419.87,3,302
150.32,1,175
1028.16,2,149
318.04,1,25
112.34,1,163
912.4300000000001,4,60
2553.06,8,28
543.5,5,88
1778.18,4,4
490.6,2,65
295.09000000000003,1,17
2646.18,10,24
346.21,2,15
1198.09,4,17
39.75,1,6
1228.13,4,91
289.5,2,162
1293.72,3,58
297.75,2,16
404.14,5,59
141.6,2,71
3777.2,5,49
638.81,2,65
1234.96,5,112
375.34,1,42
135.18,1,80
173.06,1,260
1449.1399999999999,2,44
295.13,1,21
456.40000000000003,2,56
917.28,1,66
819.87,4,11
1821.11,8,32
230.9,2,261
1656.26,4,147
336.8,1,22
195.0,1,42
141.85,1,45
506.67,5,22
2558.96,2,207
415.57,3,50
728.48,3,18
966.27,2,3
246.75,1,324
689.04,2,15
832.54,2,31
3078.4,6,29
652.7,5,56
678.11,2,7
1066.3,5,11
1177.72,6,14
494.85,1,59
639.76,2,86
234.22,2,6
159.94,1,24
120.0,1,371
321.78,1,128
427.74,1,3
1970.45,6,91
1439.72,4,53
140.14,1,195
986.22,4,17
554.67,2,165
357.72,1,195
760.19,4,97
430.69,1,237
137.7,1,36
490.47,1,44
368.75,1,49
1485.36,5,87
1028.66,4,182
422.2,3,2
536.61,4,84
523.6,3,50
190.35,1,130
481.88,2,119
395.33,1,193
279.91,2,4
82.2,1,230
757.13,2,98
1423.55,3,204
339.11,2,2
258.93,3,116
304.04,1,8
2186.71,3,73
681.65,2,37
638.2,3,79
360.0,1,183
490.08000000000004,1,233
558.72,1,67
620.37,2,34
629.36,1,72
469.19,2,97
65.34,1,20
105.99,1,267
986.08,3,252
313.91999999999996,4,134
505.8,2,3
1504.7,2,84
229.44,1,128
741.09,4,84
1158.18,2,317
320.25,1,168
142.78,1,70
3475.7200000000003,4,30
157.85999999999999,1,56
734.57,5,43
229.2,1,83
288.33,2,55
1939.02,7,109
310.75,1,63
789.6,2,69
1322.07,4,48
442.32,1,66
1375.65,6,11
352.91,3,302
334.45,1,268
3327.29,8,44
264.13,1,217
913.9,4,50
1361.28,4,21
2190.88,5,16
359.27,1,72
214.44,1,98
255.25,2,270
2878.46,5,16
1858.91,1,115
1687.49,4,28
2863.69,8,57
2542.79,7,60
3084.69,8,84
1555.83,4,62
81.6,1,37
577.8900000000001,4,146
335.7,1,73
1294.17,3,60
349.25,1,309
305.28000000000003,1,116
968.0,5,7
1352.62,3,48
847.76,3,16
297.95,2,8
1629.79,4,140
679.8,2,9
178.98000000000002,1,106
474.1,4,64
321.91,1,25
30.300000000000004,1,16
2057.01,6,9
2310.83,8,25
454.66,1,165
2581.2,3,161
227.87,2,27
2122.89,4,48
3512.62,6,65
225.55,1,226
2560.98,10,11
1563.34,6,57
596.67,1,277
415.79,1,39
3517.69,4,55
300.93,1,10
753.51,3,55
2660.0,3,52
467.25,3,81
953.9,3,18
107.62,1,298
620.85,4,7
588.05,3,98
1503.2400000000002,4,106
40.56,1,63
359.5,3,331
498.96000000000004,1,157
1323.47,5,8
1277.6,7,52
1103.64,3,98
808.65,3,20
811.1,3,7
903.87,6,109
650.16,2,200
208.0,1,310
606.21,2,111
173.95,3,182
414.69,4,66
241.89999999999998,1,261
574.23,4,48
422.85999999999996,2,116
2376.51,9,28
1412.85,2,146
439.33000000000004,1,17
2018.78,4,105
2124.46,4,72
692.24,2,20
810.08,7,71
931.12,2,81
2791.81,11,45
207.5,1,7
3628.87,11,14
123.5,1,108
321.95,2,43
3023.78,5,4
452.32,2,60
3101.66,8,18
631.34,5,8
149.75,1,71
658.02,5,190
249.70000000000002,2,67
251.04,1,44
275.4,3,99
934.19,3,83
2052.51,9,22
1240.25,2,245
217.39999999999998,1,30
434.6,3,197
188.4,1,57
2129.42,6,8
1078.0,4,17
211.8,1,4
271.28999999999996,2,284
596.1899999999999,2,161
550.84,1,31
160.39,1,370
982.27,4,46
392.38,2,213
1803.2,2,0
120.75,1,46
457.82,2,115
1279.55,3,65
396.91,1,170
695.54,3,4
229.46,3,226
747.85,2,113
1906.76,3,6
299.61,2,16
555.7,7,22
80.28,1,29
70.80000000000001,1,29
1591.24,2,109
231.34,1,30
798.3299999999999,3,86
261.0,2,52
2895.2000000000003,6,14
1393.56,4,129
1213.8,2,1
193.65,1,112
524.65,2,29
109.73,1,161
1433.33,3,37
2121.18,5,45
738.95,3,72
1227.54,4,14
3.75,1,140
3721.45,5,48
154.25,1,289
1935.48,8,4
202.82999999999998,2,52
1898.6100000000001,7,1
281.76,1,67
2179.65,5,55
743.0,6,69
508.47,2,60
850.86,2,185
291.13,1,98
155.55,1,1
437.53000000000003,4,241
1523.49,3,53
342.69,2,16
2753.41,7,9
185.72,1,78
1914.8,1,67
780.46,3,79
797.96,4,245
132.9,2,29
286.29,2,46
271.44,2,21
1774.16,4,44
1341.56,2,14
632.98,3,268
629.4,3,4
93.35000000000001,1,360
291.76,1,275
1026.0,3,15
1630.78,9,2
437.87,3,30
1931.03,4,67
933.77,3,100
1352.35,8,20
135.32999999999998,1,6
193.25,1,70
1160.4099999999999,2,259
244.31,1,252
239.55,1,80
1206.0,4,105
321.88000000000005,1,353
178.98000000000002,1,365
1237.23,1,18
2304.51,9,30
202.35000000000002,1,325
1128.09,8,1
2480.82,3,113
556.1899999999999,2,39
1139.1,3,227
136.01,1,38
881.59,3,77
975.63,5,0
1367.6,4,22
2015.17,7,91
360.85,1,228
437.4,1,62
344.90000000000003,1,41
1248.95,2,20
977.34,6,3
414.72,1,245
2577.54,5,65
180.06,2,226
1157.77,2,43
478.39,3,136
1795.22,3,39
764.57,2,125
679.4,2,69
226.42,1,45
330.79,1,108
1085.91,3,3
957.98,1,105
263.38,1,31
1136.89,3,38
171.15,1,102
1035.43,4,32
1588.57,6,10
900.77,3,11
469.40999999999997,3,0
376.20000000000005,3,22
718.51,1,196
150.5,1,147
519.45,1,92
194.7,2,272
45.6,1,266
466.98,1,49
113.25,1,79
286.71,1,186
547.6,2,8
913.11,6,23
2563.36,6,60
2408.96,6,2
419.38,2,17
549.28,3,147
349.5,1,79
277.94,2,42
322.4,1,233
326.74,1,15
1934.63,8,9
1275.43,4,81
1647.74,5,72
2206.9700000000003,6,32
3537.821,1,286
200.43,1,288
181.12,1,2
1858.04,4,15
1257.18,4,59
549.29,3,48
58.5,1,135
2346.19,4,79
3173.9,8,1
1079.1000000000001,2,241
1766.27,4,60
793.9300000000001,3,106
549.99,3,39
1378.1,7,2
437.58,2,8
437.16,1,291
2827.05,7,30
1909.31,6,58
102.0,1,162
702.9,2,23
2646.02,2,6
1139.28,2,122
1011.7,4,18
294.0,1,356
1912.65,3,13
566.13,2,0
184.34,1,52
268.27,1,79
89.5,1,37
593.23,2,109
736.28,1,6
733.71,3,14
206.09,2,318
179.4,1,32
308.2,1,31
927.61,5,78
236.06,2,98
189.0,1,67
613.6800000000001,2,216
561.25,2,185
153.24,1,137
442.73,1,34
797.9,3,29
3329.39,6,3
150.95,1,119
2.95,1,357
105.56,1,67
263.76,1,161
305.11,2,84
3358.34,5,10
1105.53,6,9
864.48,4,11
127.2,1,7
127.0,1,21
1973.94,4,268
3236.15,9,14
304.18,1,67
134.59,1,9
1468.26,6,52
1938.46,3,69
362.42,3,41
426.67,2,43
868.18,3,63
1920.71,2,65
540.23,3,97
1136.64,2,1
2508.4700000000003,7,29
282.79,2,14
1853.7,6,9
619.49,2,76
923.85,2,71
442.28999999999996,2,116
132.55,1,372
340.6,4,91
1672.05,7,38
313.05,2,18
98.7,1,3
620.62,4,14
514.54,3,29
209.48,1,186
890.8100000000001,3,20
942.75,7,27
1904.93,4,56
2585.2,7,4
655.5,3,289
196.65,2,181
840.0500000000001,3,0
412.08,1,56
365.1,1,254
333.81,1,11
148.22,2,323
372.51,2,10
389.78,1,283
2342.57,6,7
1950.98,1,161
477.98,3,34
515.78,1,49
462.75,1,14
37.5,1,294
203.05,1,197
526.97,3,7
860.08,2,78
351.0,1,263
307.54,1,363
226.70000000000002,1,49
139.95000000000002,1,121
232.27,1,25
705.45,4,43
1049.66,1,225
982.86,3,0
266.5,2,255
1780.34,4,165
2959.73,10,49
310.83,1,217
416.35,1,10
1338.17,3,21
314.74,1,37
335.54,1,52
1462.81,4,63
1078.22,4,14
270.92,1,150
1088.91,4,56
1654.08,11,14
579.85,1,70
374.7,2,84
788.88,4,11
2020.4,3,56
76.74000000000001,1,324
1042.75,7,22
180.45,1,372
261.9,2,36
568.8199999999999,2,92
313.49,1,260
884.64,6,25
492.1,1,67
1354.82,7,7
1015.42,5,183
1674.41,3,2
2617.9,5,149
110.69999999999999,1,88
2845.7,4,23
1025.1,2,22
2485.46,7,48
2275.7,10,2
426.85,1,219
756.51,3,0
1747.77,2,57
2799.08,8,14
446.76,3,46
250.35,1,18
317.11,1,73
689.11,2,28
303.7,2,15
2428.08,2,129
156.85000000000002,1,216
175.5,1,258
205.41000000000003,1,71
371.59,3,87
715.5,3,31
214.13,1,274
696.19,1,49
580.08,1,276
190.48000000000002,1,178
213.01,1,272
332.7,1,330
233.4,1,118
517.8,1,309
434.2,2,78
209.4,1,246
485.5,1,309
3147.36,4,72
1018.71,3,21
359.77,3,155
1192.2,1,39
281.51,2,149
282.05,1,260
2295.19,9,3
110.65,1,106
1002.29,3,105
2832.56,6,28
717.45,3,46
3027.58,9,22
713.11,2,105
231.33999999999997,1,154
690.48,1,297
956.68,5,17
287.38,2,297
1109.53,4,50
1994.47,3,43
530.47,1,46
210.58,2,25
429.44,6,274
751.5600000000001,2,24
3484.5299999999997,6,7
3391.52,8,63
30.15,1,234
551.11,4,35
438.65000000000003,1,231
471.14,2,8
839.73,3,49
443.16,2,49
687.3100000000001,2,66
276.88,2,77
1743.6,6,2
351.66,1,181
1503.77,9,10
318.06,1,265
2455.31,7,14
139.94,1,256
2854.73,4,15
1971.55,8,2
1369.2,7,2
247.84,2,16
987.48,4,57
2322.43,2,197
220.44,1,60
405.51,3,9
68.03,1,63
1003.8100000000001,3,212
382.66,2,32
129.85,1,105
588.5,3,113
167.27,1,338
874.5,2,188
2871.74,8,0
171.7,1,302
2776.19,8,29
433.77,1,277
607.43,2,123
1610.71,5,66
1014.48,3,4
913.9000000000001,3,7
746.56,4,36
145.01,1,15
225.6,1,28
980.7,3,29
1310.83,3,27
96.44,1,147
383.96999999999997,1,18
2076.32,7,9
53.65,1,65
366.4,1,48
127.2,1,197
2752.11,11,0
385.03000000000003,1,120
310.15,1,114
382.42,4,59
310.74,1,49
868.33,5,35
428.45,1,81
3070.38,4,41
731.91,2,69
190.95,1,253
376.92,1,56
153.0,1,225
251.71,2,165
1428.7,4,41
2252.04,6,41
1323.65,4,9
126.45,2,319
2599.52,5,30
760.1,1,108
315.98,1,45
1253.18,3,16
406.56,1,7
455.57,1,185
433.46000000000004,3,66
168.65,1,85
377.0,1,295
248.65,1,266
154.72,1,9
2059.67,6,99
961.9000000000001,3,113
2012.72,6,77
1355.24,6,9
347.54,1,364
2855.5099999999998,8,30
235.88,1,227
684.54,3,165
1621.03,10,18
1374.41,4,148
280.51,1,301
1460.92,8,2
298.9,1,269
526.96,1,48
651.51,4,106
1995.65,3,164
382.2,1,84
24.75,1,135
1993.34,1,36
2735.63,3,97
379.16,1,367
451.28999999999996,1,14
1712.1200000000001,3,18
2190.94,5,4
2417.7799999999997,7,13
403.6,3,22
1083.69,4,63
519.29,2,25
508.52,3,31
124.95,1,58
977.5600000000001,5,30
801.66,1,48
3723.5499999999997,3,58
81.12,1,107
965.2,2,14
1507.77,4,14
211.79999999999998,1,71
3424.02,3,34
89.65,1,66
906.15,6,14
1736.57,7,3
106.81,1,44
933.84,2,34
1162.03,5,7
307.1,1,319
115.58,1,46
1449.6200000000001,7,35
235.25,1,23
207.85,2,368
346.97,2,74
111.71,1,181
1616.48,5,29
1892.52,7,116
318.29,2,92
157.63,1,25
