MonetaryValue,Frequency,Recency
471.84000000000003,1,29
319.14,3,304
467.34,2,36
111.25,1,3
749.8100000000001,6,4
659.16,6,32
964.21,1,84
3078.4,6,30
546.34,2,21
303.7,2,16
50.3,1,65
2909.68,10,50
330.79,1,109
2563.36,6,61
114.92,1,47
306.58000000000004,1,156
2536.07,7,25
1077.82,4,79
249.5,1,7
2473.53,10,1
71.14,1,7
2303.33,3,14
2052.69,4,57
126.35000000000001,1,21
619.37,6,18
1882.3200000000002,10,67
1660.23,9,17
1579.07,2,58
1275.81,4,99
333.82,1,26
634.68,2,30
1008.05,4,30
105.78000000000002,1,365
450.85,4,29
246.75,1,325
1271.06,3,79
102.0,1,163
430.69,1,238
739.1,3,30
205.3,1,227
460.64,1,158
987.48,4,58
533.11,3,63
1908.6,3,177
325.37,2,101
479.91999999999996,2,232
816.6,3,119
681.65,2,38
2239.1,8,23
816.56,2,16
1645.98,1,322
613.6800000000001,2,217
1687.49,4,29
425.85,2,54
990.0,2,148
360.85,1,229
823.0,3,42
42.22,1,142
1241.7,4,44
132.9,2,30
703.27,3,73
399.9,2,31
252.68,1,38
373.46999999999997,4,60
2560.98,10,12
668.5,1,245
1503.65,4,67
204.24,1,369
260.7,3,155
235.88,1,228
152.35,2,45
468.88,2,257
209.05,1,39
294.17,1,310
150.0,1,235
294.0,1,357
588.75,2,8
127.65,1,257
332.44,2,106
439.94,3,10
30.15,1,235
2011.82,9,10
446.76,3,47
717.39,4,4
318.29,2,93
197.10999999999999,2,30
193.29000000000002,1,276
1179.45,3,72
289.48,1,85
1066.94,6,11
262.64,4,184
635.06,3,63
768.64,2,107
818.29,1,268
913.95,2,63
784.73,4,12
579.61,2,187
524.65,1,23
787.2,1,44
1766.46,3,79
1766.22,2,144
859.21,3,14
679.02,2,18
831.45,2,218
270.08,2,24
1138.14,6,17
291.56,2,15
1511.7,5,49
1695.15,4,4
340.33,1,58
301.54,2,32
336.62,2,75
233.35,1,46
3015.55,9,81
597.23,3,254
86.2,1,40
214.79999999999998,1,373
236.06,2,99
20.4,1,371
328.13,1,42
223.44,2,180
127.2,1,198
1121.24,2,66
340.48,1,112
784.17,4,108
282.68,2,240
404.45000000000005,1,163
467.5,3,172
340.84000000000003,1,71
148.67000000000002,1,176
426.53000000000003,1,86
622.6700000000001,2,137
236.11,1,53
1906.48,6,26
1155.0300000000002,5,64
2005.3400000000001,8,19
1310.99,3,65
1647.17,6,23
730.7,4,38
963.49,5,30
1111.55,3,73
204.25,1,29
612.94,1,44
222.65,3,37
148.3,1,374
1136.36,3,51
1900.64,7,110
456.70000000000005,4,57
1431.78,3,16
199.85,1,92
2525.44,3,217
979.85,3,11
2240.47,4,54
1239.11,5,4
222.20000000000002,1,25
2535.69,6,7
828.5500000000001,3,32
190.57,1,54
399.61,3,10
304.2,1,29
896.77,3,16
134.44,1,178
273.35,1,261
144.29,1,56
1853.7,6,10
109.80000000000001,1,66
449.25,2,57
466.33000000000004,1,80
342.4,1,297
492.47999999999996,2,49
337.66999999999996,1,317
405.0,1,247
183.20000000000002,1,325
504.85,2,8
1526.88,3,30
3221.6,9,15
51.839999999999996,1,29
638.6999999999999,2,44
281.26,3,129
259.17,1,29
1950.4,5,63
623.0,2,8
3537.821,1,287
301.26,1,232
1082.6000000000001,4,15
599.78,3,4
1191.44,5,31
730.37,2,95
293.53,1,292
1002.35,4,46
1300.31,9,15
3475.7200000000003,4,31
2912.93,7,47
917.06,2,29
1018.42,2,212
2439.78,6,19
1415.81,7,56
3185.61,4,130
447.05,2,367
1623.94,2,21
1534.22,3,155
312.68,1,66
621.5600000000001,2,37
422.2,3,3
1488.59,3,234
120.6,1,305
166.63,1,192
1061.84,2,67
1285.04,5,12
818.7900000000001,4,9
162.53,1,50
76.23,1,254
1535.37,3,128
760.1,1,109
731.91,2,70
2422.02,3,114
360.61,1,361
105.80000000000001,1,44
868.96,3,182
373.3,3,7
558.72,1,68
662.4000000000001,1,22
359.27,1,73
490.6,2,66
420.54,1,29
880.97,2,53
367.15000000000003,1,281
678.77,4,79
977.3,5,12
942.75,7,28
297.0,2,164
437.16,1,292
1142.47,5,9
1476.3,7,7
148.62,1,159
955.8000000000001,3,9
1459.02,3,150
706.27,2,70
1388.81,4,245
994.6,7,16
1722.09,3,56
834.4399999999999,1,70
703.11,3,32
307.3,1,295
3006.08,5,5
1550.63,5,63
1920.71,2,66
1868.64,4,7
530.5,2,42
151.4,1,242
1362.75,2,40
637.44,2,12
977.5600000000001,5,31
1591.74,6,7
1460.3600000000001,1,268
1941.1200000000001,4,36
447.44,3,70
474.64,3,137
123.13,1,264
317.76,3,44
491.17,3,30
178.83,2,54
93.49,1,148
1626.08,2,44
426.9,6,25
81.12,1,108
72.0,1,72
502.52,1,29
68.03,1,64
2085.61,2,59
984.62,2,61
168.69000000000003,1,86
1504.26,7,2
403.39,1,215
512.77,2,46
868.33,5,36
171.71,1,31
913.62,2,24
1213.05,2,247
885.71,3,21
1557.96,3,8
1473.24,2,31
300.31,1,143
485.5,1,310
170.4,1,179
234.38,1,366
3389.84,6,72
568.68,4,75
1677.15,4,5
1450.5,2,108
2845.7,4,24
3127.9700000000003,6,3
3765.2,5,36
300.66,1,4
593.23,2,110
275.4,3,100
1343.2,7,16
3070.54,2,158
516.28,1,39
1196.84,2,261
2503.76,6,29
1771.04,6,56
741.11,5,26
239.12,1,46
135.16,2,277
377.71,3,44
312.9,1,367
1304.88,5,2
655.5,3,290
225.6,1,29
757.72,4,124
799.0,2,40
414.72,1,246
169.79999999999998,2,9
171.15,1,68
579.6,1,313
111.63,1,81
3015.2000000000003,5,50
225.15,2,4
10.55,1,277
380.0,1,302
475.05,2,57
90.42,1,137
601.92,4,131
821.35,2,95
234.88,1,208
426.24,1,199
2300.4,1,261
871.26,2,86
611.9000000000001,3,58
961.93,2,75
1152.1100000000001,4,19
1182.3799999999999,4,148
1025.1,2,23
139.95000000000002,1,122
118.95,1,86
277.94,2,43
1427.57,4,1
2766.4,3,56
178.48000000000002,1,150
579.85,1,71
2186.71,3,74
24.4,1,67
2062.41,3,1
842.4,2,283
1847.59,5,2
1109.53,4,51
40.8,1,136
141.85,1,46
549.33,1,64
268.28,1,60
123.66,1,59
323.8,1,198
1027.03,6,109
310.74,1,212
570.18,3,11
307.1,1,320
86.10000000000001,1,243
285.29999999999995,1,366
423.26,1,87
528.5600000000001,1,205
932.76,4,176
670.98,3,126
3046.7400000000002,6,52
1591.24,2,110
59.900000000000006,2,180
326.25,2,35
460.20000000000005,1,67
257.06,1,11
112.53,1,47
140.75,1,228
392.2,3,23
332.17,2,266
180.45,1,373
734.57,5,44
880.62,2,47
94.53,1,219
210.58,2,26
951.51,4,16
1376.05,5,23
81.15,1,42
465.84000000000003,2,36
1404.04,8,5
884.02,4,30
101.36,1,245
2075.7400000000002,7,4
596.1899999999999,2,162
839.73,3,50
1309.01,4,86
1099.81,6,52
69.6,1,36
320.08,1,5
2026.28,6,10
2970.14,9,1
221.82999999999998,1,144
322.1,3,17
668.97,3,23
1464.8300000000002,3,78
2209.98,4,16
89.65,1,67
1.55,1,247
313.05,2,19
293.74,1,24
433.36,2,71
3003.9100000000003,11,3
519.8100000000001,1,47
368.31,2,11
164.53,1,44
711.18,1,112
1322.07,4,49
244.44000000000003,1,17
713.03,2,183
620.85,4,8
934.58,3,45
219.39999999999998,1,259
432.96,1,367
230.4,1,291
2896.69,5,239
135.95,1,196
256.6,1,322
93.6,1,191
385.03000000000003,1,121
266.6,1,213
943.97,1,204
1393.42,3,70
1374.41,4,149
3269.11,3,198
510.72,2,56
180.56,1,260
246.5,2,98
385.19,1,194
316.48,1,164
213.0,1,84
229.2,1,84
226.91,1,31
2770.33,6,56
198.41000000000003,2,205
295.85,1,53
3171.54,10,10
110.69999999999999,1,89
606.4100000000001,2,75
473.69,3,2
1950.98,1,162
797.96,4,246
2202.11,10,3
1292.39,11,2
549.28,3,148
1212.21,4,147
1190.82,5,66
396.26,1,45
2686.75,2,105
122.45,1,238
335.54,1,53
844.87,4,81
688.95,2,9
341.9,1,226
251.15,2,141
643.0,1,23
1037.43,5,12
991.7900000000001,3,110
2749.13,11,15
2295.71,4,18
1013.54,3,2
229.46,3,227
2658.65,3,2
309.91,1,86
3666.9500000000003,8,11
221.59,1,145
1433.33,3,38
1020.13,7,23
158.02,1,96
114.1,1,19
255.59,2,257
115.08000000000001,1,211
746.1,2,26
141.12,1,60
392.6,2,291
3640.96,11,15
223.28,1,107
495.72,2,2
1690.49,5,93
310.70000000000005,1,358
2057.01,6,10
882.65,4,12
568.92,2,63
2094.23,4,52
1355.24,6,10
338.13,1,366
627.82,2,52
2004.6200000000001,5,22
1890.0,7,115
25.2,1,201
780.46,3,80
391.95,1,72
140.14,1,196
246.22,1,295
522.67,2,23
3458.35,8,32
322.4,1,234
389.40000000000003,2,61
651.4,1,52
416.35,1,11
560.14,2,40
1494.87,4,15
1237.2,4,127
541.14,1,178
2557.35,2,59
619.49,2,77
422.85999999999996,2,117
1122.4,2,22
724.89,1,267
255.0,1,9
640.13,2,17
225.4,1,179
126.45,2,320
347.54,1,365
357.77,3,39
328.77,1,66
173.95,3,183
221.10999999999999,1,11
343.7,2,61
250.85,1,66
1120.45,2,81
54.15,2,5
982.86,3,1
364.93,2,26
395.07,3,177
1186.4,4,11
102.0,1,11
3096.14,11,18
343.8,2,11
981.7299999999999,3,37
516.87,1,52
353.51,1,12
203.14,2,319
339.34,1,33
263.38,1,32
258.93,3,117
240.68,1,68
338.62,3,156
1102.56,2,66
610.6,1,71
3334.82,5,36
141.6,2,72
284.86,1,232
537.58,1,246
165.0,1,58
2699.48,2,172
1191.23,1,19
298.9,1,270
3260.0,7,56
147.45,1,18
161.4,1,68
197.70000000000002,1,297
341.59,2,229
131.15,1,217
1246.95,5,57
1154.41,4,46
233.53000000000003,1,366
578.14,1,26
263.73,1,128
198.47,1,15
1297.45,6,30
1662.45,7,50
934.23,1,106
632.28,1,253
891.02,3,25
420.22,1,124
1563.54,9,15
571.34,2,56
355.45,1,47
1142.88,2,318
2265.06,2,145
2478.731,5,78
3721.45,5,49
963.59,2,16
137.99,1,257
394.37,1,64
1273.47,2,42
850.34,2,59
230.9,2,262
433.71999999999997,1,246
179.4,1,33
321.65000000000003,1,110
296.65,1,92
61.72,1,36
1041.21,1,57
1462.81,4,64
855.71,3,148
252.48000000000002,2,366
114.69,1,179
329.48,3,2
428.06,2,29
102.6,1,31
451.28999999999996,1,15
945.79,3,127
548.22,4,10
108.0,1,177
181.05,1,42
746.24,2,56
1617.78,5,119
518.14,1,337
107.0,1,80
2448.2,11,51
432.45,2,198
384.9,4,99
913.9000000000001,3,8
885.3199999999999,3,30
442.0,2,112
1443.03,2,12
435.83,2,64
2265.2,6,14
93.8,1,200
2300.01,8,108
692.98,2,58
170.1,2,277
603.0500000000001,2,260
2898.8,7,10
498.96000000000004,1,158
1616.48,5,30
2715.0,3,43
977.34,6,4
580.08,1,277
255.03,2,78
711.23,1,215
901.68,1,57
1121.45,3,28
167.1,1,324
1471.52,4,59
2133.31,11,7
795.47,3,18
552.9,1,47
244.60000000000002,2,68
946.83,7,12
328.95,2,113
189.93,1,22
591.96,1,29
302.6,2,127
596.09,4,191
171.13,1,315
176.9,1,282
702.9,2,24
938.02,4,56
537.1999999999999,1,54
80.4,1,373
1127.45,2,185
683.9200000000001,3,52
746.56,4,37
2.95,1,358
1376.0900000000001,3,10
1838.72,6,45
368.27,1,306
237.62,4,11
312.62,2,22
188.46,1,14
2766.73,7,11
274.8,1,80
220.13,1,140
169.0,1,51
346.73,1,25
379.7,1,284
393.64,2,26
227.15,1,22
2023.91,4,36
1293.72,3,59
404.45,1,47
205.75,1,50
240.3,1,40
2617.9,5,150
2242.19,7,14
156.37,1,84
450.15999999999997,1,105
1130.2,3,12
1123.75,2,232
508.20000000000005,1,219
536.88,2,60
2841.07,5,92
2990.41,10,21
873.42,2,21
2854.73,4,16
93.35000000000001,1,304
1463.78,2,1
615.27,2,52
246.54,1,213
2646.7400000000002,9,11
1522.7,4,165
533.41,3,24
259.68,1,165
106.80000000000001,1,43
134.9,1,304
628.22,3,77
2975.06,3,35
591.0699999999999,3,17
199.08,1,53
1954.99,1,240
1932.64,8,4
491.81,1,21
241.3,1,26
368.75,1,50
453.45,2,44
1589.1399999999999,7,24
1535.7,8,29
824.48,2,18
2225.94,4,22
263.49,2,22
209.89000000000001,1,15
75.76,3,1
101.86,1,45
167.16,1,103
2704.62,5,26
370.40999999999997,1,80
2310.83,8,26
3777.2,5,50
1723.45,5,1
1743.6,6,3
1038.03,6,52
827.91,3,70
1950.9499999999998,2,99
209.4,2,213
1651.72,1,187
447.53000000000003,1,358
376.20000000000005,3,23
917.6999999999999,1,264
310.75,1,64
808.65,3,21
1990.8,11,5
605.05,2,44
150.95,1,120
140.49,1,186
2581.2,3,162
1352.62,3,49
102.0,1,57
387.85,2,7
35.28,1,228
414.7,1,37
679.8,2,10
82.6,1,372
1743.3700000000001,9,64
1522.27,5,15
434.78000000000003,1,32
139.85,2,239
1013.13,6,46
2118.12,2,49
1318.3899999999999,4,15
1584.1200000000001,4,45
116.18,1,171
1993.34,1,37
1624.84,3,35
508.55,1,239
1015.74,3,47
1655.17,3,91
758.62,2,126
2685.05,6,7
150.35,1,231
2508.77,9,3
649.32,5,19
310.72,1,355
880.96,2,51
770.08,3,140
512.68,1,71
1957.7,4,100
640.76,5,163
566.13,2,1
151.17,1,152
3440.7200000000003,10,12
1183.39,4,15
319.94,1,92
524.3199999999999,3,25
840.25,1,84
1175.78,6,86
919.7,1,71
2568.32,10,15
170.5,1,23
1353.31,3,234
761.4100000000001,2,47
182.59,2,101
547.34,2,35
1445.47,4,87
769.9200000000001,2,59
781.59,3,239
96.0,1,282
200.63,1,259
772.83,3,26
2149.65,9,22
2445.79,5,16
2022.67,5,61
1704.11,6,16
610.74,2,22
1058.0800000000002,4,14
124.08000000000001,2,99
835.46,2,50
1991.49,4,17
250.26,1,257
942.17,4,78
449.42,2,61
1441.04,2,138
240.95,1,266
906.23,1,339
1850.82,10,15
1491.73,3,127
1574.3300000000002,5,18
258.96,2,60
405.1,1,220
162.24,1,156
433.85,3,124
457.2,4,29
350.52,1,11
3309.35,10,15
384.26,1,71
1552.35,6,58
43.87,2,264
728.75,3,11
2408.96,6,3
850.86,2,186
502.45,1,81
270.15000000000003,3,162
654.96,2,79
596.28,3,17
211.99,1,15
3481.41,9,23
469.13,2,278
832.4200000000001,2,7
436.55,2,207
1334.54,3,40
1357.95,6,12
115.3,1,359
2815.17,8,32
336.5,1,277
330.0,1,81
171.15,1,103
175.0,1,33
98.73,1,257
927.61,5,79
884.59,3,106
1965.72,6,92
1160.4099999999999,2,260
632.39,3,103
54.699999999999996,1,137
530.14,3,8
178.85,1,234
1013.58,1,80
487.03000000000003,2,46
6.300000000000001,1,170
2577.54,5,66
308.59999999999997,1,11
986.22,4,18
157.32999999999998,1,361
501.97999999999996,2,80
896.8000000000001,1,177
1729.43,6,5
162.0,1,72
778.49,1,71
967.44,3,14
2135.0,5,17
2374.5,7,8
399.95,2,40
149.7,2,157
136.73,1,50
344.75,1,319
1839.52,2,240
3417.13,7,22
1033.8,2,18
143.94,1,51
925.3,5,8
324.45,1,72
2389.62,1,36
1921.9,8,3
896.06,7,59
59.400000000000006,1,298
2349.5,2,57
314.7,1,165
744.34,3,109
1698.56,8,175
338.46000000000004,1,359
1290.03,4,16
234.75000000000003,1,227
13.919999999999998,1,158
293.18,2,52
1525.5800000000002,6,10
189.0,1,68
399.3,2,30
275.8,1,30
1160.11,3,19
2644.01,6,45
671.34,2,9
241.68,2,25
179.6,1,187
286.39,1,21
583.1999999999999,1,212
220.46,1,78
885.33,1,21
14.850000000000001,1,154
225.3,1,44
318.04,1,26
633.02,4,58
221.24,1,44
313.64,1,362
126.0,1,66
947.98,3,33
2108.21,8,30
711.7,4,100
805.3000000000001,2,120
424.55,2,302
1248.48,1,266
769.78,2,38
175.9,1,79
2121.18,5,46
935.62,2,178
1766.78,7,3
637.75,2,164
452.78000000000003,2,68
228.96,1,235
550.5699999999999,5,17
1635.64,5,17
61.300000000000004,2,158
746.1800000000001,2,197
103.95,1,191
279.91,2,5
112.34,1,164
1699.25,8,2
530.18,5,89
128.07999999999998,1,247
137.8,1,112
2965.91,10,108
446.1,3,45
965.2,2,15
1385.38,2,17
325.24,1,239
1681.89,5,14
149.57,1,177
623.08,2,92
2941.14,7,23
476.92,2,19
1223.31,1,36
194.7,2,273
1103.64,3,99
302.04,1,58
1077.2,2,17
2497.86,7,51
498.95,3,51
91.14,1,313
338.41,2,2
29.1,1,305
590.4399999999999,4,9
321.45,1,248
178.13,1,107
360.08,1,201
349.7,1,112
879.42,6,11
1994.47,3,44
98.30000000000001,1,359
1061.69,2,176
1131.45,4,219
142.71,1,208
283.79,1,305
368.4,1,285
168.6,1,2
849.56,2,74
2609.16,9,12
1415.45,2,151
1115.61,8,33
2270.0,3,108
171.7,1,303
233.25,2,88
336.59999999999997,2,15
156.6,1,284
949.82,1,11
346.5,2,308
110.95,1,170
3095.95,7,19
1010.73,4,220
190.35,1,131
1656.26,4,148
327.0,1,61
717.57,1,73
566.11,1,53
648.4,2,57
673.6,2,38
1250.77,3,38
489.86,2,31
1313.67,4,262
271.44,2,81
329.58,1,358
2441.61,11,5
187.3,1,28
713.0,2,130
420.25,2,192
104.0,2,106
2599.52,5,31
1757.98,8,10
199.45000000000002,1,127
468.65,1,128
406.3,2,32
207.5,1,8
102.82,1,367
678.55,2,16
2235.12,6,210
1157.77,2,44
2285.18,5,100
572.3100000000001,1,254
58.5,1,239
1397.59,4,12
356.8,1,32
306.0,1,214
132.65,1,17
594.21,3,134
51.0,1,295
261.0,2,53
980.7,3,30
1119.6599999999999,1,81
546.0,4,53
305.28000000000003,1,117
45.34,2,256
1494.6,7,16
232.05,1,176
758.67,2,95
2298.93,5,54
429.44,6,275
1512.56,3,14
424.26,1,67
2806.0,5,16
712.95,1,100
167.27,1,339
152.39999999999998,1,302
145.01,1,16
1757.25,6,8
172.6,1,30
289.5,2,163
277.91,3,112
959.33,4,47
136.2,1,222
1243.75,6,30
606.21,2,112
1115.23,2,28
601.97,2,65
465.15999999999997,2,89
352.15000000000003,1,122
1999.02,7,92
180.7,1,3
130.32,1,370
2651.45,9,52
1433.96,5,14
975.5,1,71
317.8,1,91
1702.1399999999999,5,12
632.98,3,269
159.92,3,68
202.85,1,18
400.46999999999997,3,14
71.78999999999999,1,365
331.55,1,9
281.02,1,140
2201.91,3,49
500.5,2,73
2083.16,8,11
204.26,1,365
404.7,2,225
2726.77,11,4
307.12,1,24
749.0600000000001,3,37
2300.78,7,49
680.85,2,245
604.3299999999999,2,79
100.86,1,137
497.25,2,8
243.9,2,175
1331.38,1,31
243.3,2,134
1210.83,4,23
1610.71,5,67
1200.15,5,4
611.5500000000001,2,16
36.25,1,332
951.76,5,30
1077.24,2,68
175.85,2,35
826.47,2,21
990.5,5,17
118.85999999999999,1,74
343.21,2,304
1254.72,5,2
1074.47,4,15
449.96999999999997,3,120
648.45,2,171
30.1,1,255
50.48,1,228
147.12,2,88
785.25,2,63
961.1,3,85
2212.89,6,10
352.65,3,22
1223.89,2,263
131.15,1,260
920.08,3,128
727.85,2,11
612.84,4,8
1128.72,3,226
310.3,1,72
213.9,1,207
993.44,4,29
1787.41,8,33
508.91,2,31
385.55,1,49
496.15999999999997,4,197
223.85999999999999,1,112
1921.19,9,25
1003.8100000000001,3,213
3107.05,6,31
555.6600000000001,1,157
823.4,2,156
106.67999999999999,1,313
435.05,2,14
1302.46,8,12
613.33,1,119
933.77,3,101
148.22,2,324
2803.2,1,79
3003.26,9,60
721.28,1,38
442.32,1,67
767.91,3,135
898.87,1,53
202.56,1,292
314.74,1,38
133.34,1,10
1683.79,8,259
122.39999999999999,1,127
258.65,1,25
363.40000000000003,2,129
263.75,3,14
2336.0,6,3
653.3100000000001,2,94
191.86,2,156
388.84,1,257
492.1,1,68
2135.46,1,284
217.03,1,64
473.0,1,42
134.36,1,173
351.0,1,264
2502.82,5,21
260.85,2,36
231.68,1,298
154.5,2,23
901.0699999999999,3,59
787.99,2,182
517.7,1,365
1493.1200000000001,8,4
206.60000000000002,1,23
93.3,1,124
1046.84,4,39
529.15,2,18
784.48,3,152
1914.8,1,68
208.97,1,8
217.73,1,196
628.09,2,213
375.5,1,271
1136.64,2,2
76.32000000000001,1,316
666.6500000000001,3,18
1825.56,5,7
226.42,1,46
1232.02,4,51
2878.46,5,17
205.65,1,5
229.75,1,66
902.35,1,10
2093.46,4,52
238.86,2,19
219.35,1,165
2449.75,10,30
1439.72,4,54
1220.9099999999999,2,88
1805.32,5,16
321.59999999999997,1,113
506.67,5,23
970.12,2,163
42.4,2,56
58.5,1,136
414.69,4,67
1294.17,3,61
810.08,7,72
1367.6,4,23
2712.85,8,45
3391.52,8,64
260.45,1,67
153.0,1,226
389.26000000000005,1,268
1314.66,3,12
256.95,1,135
885.79,3,37
314.67,1,66
3084.58,6,9
1569.8799999999999,10,9
36.13,1,199
110.95,1,273
1026.0,3,16
2146.95,10,1
405.85,1,225
553.88,2,157
867.11,3,15
549.88,1,166
313.91999999999996,4,135
1364.59,5,91
429.78,2,9
605.7,2,17
579.89,2,11
82.4,1,289
888.91,4,5
376.70000000000005,4,155
176.69,1,49
3241.92,10,22
1234.48,4,164
112.86,1,186
2295.19,9,4
1002.9300000000001,6,7
714.88,2,156
482.85,2,198
369.02,3,241
608.86,2,77
1272.8,2,44
966.03,3,29
352.821,1,289
3103.26,7,31
1502.0,2,127
356.71,4,23
76.32000000000001,1,4
732.55,3,15
2118.7000000000003,6,82
277.4,1,89
562.98,1,291
1555.83,4,63
600.34,2,113
1089.44,2,114
2485.89,7,5
2182.41,7,31
2136.72,8,53
1523.35,7,17
1985.6299999999999,8,5
1739.92,5,25
759.98,3,100
235.56,2,51
3761.38,8,8
163.77,1,368
1865.73,3,10
330.77,2,197
774.84,3,8
263.76,1,162
583.71,3,33
1011.7,4,19
2181.71,4,28
206.19,1,203
645.6,2,44
437.4,1,63
477.32,1,182
942.37,4,276
1509.5,2,33
91.8,1,200
568.8199999999999,2,93
300.93,1,11
1554.92,5,15
291.76,1,276
181.65,1,372
2567.64,4,28
137.16,1,185
937.07,3,1
299.61,2,17
1676.95,3,11
1338.17,3,22
266.05,1,325
177.69,1,50
527.94,1,32
310.83,1,218
664.16,2,254
295.73,1,75
307.34,1,63
526.97,3,8
2342.57,6,8
402.36,1,4
931.12,2,82
1378.74,4,147
2095.0,5,38
162.45,1,274
249.65,2,72
1006.53,3,2
1773.97,4,67
1003.0699999999999,3,148
218.45999999999998,2,64
190.47000000000003,2,38
124.78,1,373
2776.19,8,30
1511.94,5,176
806.95,3,23
202.82999999999998,2,53
770.34,1,77
2165.76,4,229
3186.01,5,9
139.2,2,71
1895.0,1,92
184.41,1,15
1134.85,5,5
609.84,2,19
913.05,4,33
920.71,4,10
1043.57,4,10
344.61,2,19
321.78,1,129
651.13,1,164
120.95,1,47
1895.19,4,71
386.8,2,130
1315.2,3,73
296.07,2,85
295.0,1,120
156.85000000000002,1,217
338.31,2,64
3124.3,3,16
149.75,1,72
660.0,3,72
1295.25,7,59
2297.66,2,141
254.0,1,238
664.66,4,4
402.97999999999996,1,270
124.25,1,200
247.38,1,11
35.7,1,128
406.02,2,89
771.87,4,12
210.85,1,66
304.95,1,17
2428.08,2,130
351.9,1,190
1978.18,4,106
237.64000000000001,2,17
310.46999999999997,2,287
837.0600000000001,2,79
3226.18,3,18
1920.83,6,16
283.19,2,23
148.95,1,113
357.6,1,123
92.6,1,36
537.9,3,26
1039.55,2,43
921.5,5,22
92.2,1,149
262.24,1,68
337.04,2,16
226.86,2,70
385.2,2,217
366.41999999999996,1,296
481.88,2,120
89.5,1,38
526.96,1,49
142.7,2,16
3309.2599999999998,6,56
3127.85,9,2
189.78,2,72
2907.65,6,7
2283.91,6,15
692.3,1,51
731.38,5,12
550.42,2,88
1248.09,4,66
2206.9700000000003,6,33
301.9,1,219
135.6,1,212
79.9,1,302
266.93,1,253
309.1,2,113
2617.33,7,11
108.52,1,282
455.25,1,220
612.76,2,56
992.46,6,61
587.69,2,24
2268.44,7,15
460.95,2,61
1511.15,3,49
621.37,2,75
2244.23,5,32
530.47,1,47
359.69,1,17
2508.32,9,15
421.45000000000005,1,254
1371.77,7,30
262.32,2,59
216.95000000000002,2,88
1230.42,4,16
1265.58,3,60
540.35,5,36
609.88,1,204
909.88,4,61
162.72,1,245
97.5,1,144
138.18,1,316
1192.94,6,28
409.25,2,70
250.44,2,40
593.47,3,71
500.24,1,269
488.32,1,81
2242.81,6,39
1461.63,6,16
334.62,1,42
30.0,1,65
1056.63,1,8
2895.2000000000003,6,15
249.47,2,2
286.71,1,187
565.43,3,61
202.68,1,275
1230.15,7,2
350.85,1,75
1518.81,5,77
954.59,4,129
373.02,1,47
451.56,1,186
900.77,3,12
312.05,2,33
2023.33,4,17
2174.07,4,84
320.0,1,170
383.59000000000003,2,312
136.31,1,98
